id,latitude,longitude,type
722,38.660999,-80.695347,recarea
723,39.003368,-80.474017,recarea
724,39.657246,-80.861198,recarea
725,38.25333,-82.985,recarea
726,38.11833,-83.53333,recarea
727,38.125994,-82.698287,recarea
728,37.835822,-82.870257,recarea
729,37.73667,-82.73,recarea
730,38.366027,-75.6009964,city
731,37.908589,-75.356399,recarea
732,37.7742152,-87.1133304,city
733,36.15923,-86.615004,recarea
734,36.294481,-86.612013,recarea
735,37.533745,-87.265172,recarea
736,36.879596,-88.344601,recarea
737,37.277066,-86.246802,recarea
738,37.620713,-86.498541,recarea
739,36.89667,-86.125,recarea
740,37.02167,-88.22,recarea
741,40.1053196,-85.6802541,city
742,33.4709714,-81.9748429,city
743,35.4798757,-79.1802994,city
744,36.8448348,-76.2863999,city
745,39.6136987,-86.1095429,city
746,38.000845,-85.30813,recarea
747,39.9375112,-77.6612586,city
748,39.48022,-79.07167,recarea
749,39.798231,-79.369875,recarea
750,39.9624588,-76.7277218,city
751,38.2542376,-85.759407,city
752,37.245854,-85.341667,recarea
753,41.1513108,-81.3578047,city
754,41.626708,-79.959841,recarea
755,41.920374,-79.899743,recarea
756,41.696894,-80.105879,recarea
757,40.527413,-80.620022,recarea
758,42.0965167,-79.2380322,city
759,41.837466,-79.004635,recarea
760,39.1154506,-77.5645607,city
761,40.6639916,-74.2107006,city
762,39.9526791,-74.1968257,city
763,38.925927,-79.8466552,city
764,38.553999,-79.896347,recarea
765,39.045255,-79.446798,recarea
766,39.56333,-80.05,recarea
767,39.314226,-80.031656,recarea
768,40.0581205,-82.4012643,city
769,35.862193,-89.560082,recarea
770,36.493447,-87.794702,recarea
771,36.035111,-89.387994,recarea
772,35.61108,-89.885293,recarea
773,35.9985069,-89.4060833,recarea
774,37.2698395,-81.2223195,city
775,37.23333,-82.345,recarea
776,37.43167,-82.41667,recarea
777,39.7683331,-86.1583502,city
778,35.9556924,-80.0053176,city
779,33.4918203,-80.8556476,city
780,32.664984,-80.393629,recarea
781,32.975035,-79.669316,recarea
782,32.974691,-79.668322,recarea
783,33.51250076,-80.27690125,recarea
784,32.647469,-80.376719,recarea
785,33.363844,-79.226539,recarea
786,32.0476435,-80.9278729,recarea
787,39.8005316,-76.9832568,city
788,40.7985464,-81.3749508,city
789,34.7370639,-82.2542834,city
790,33.9528472,-84.5496148,city
791,38.3031837,-77.4605399,city
792,33.883887,-84.5147454,city
793,32.7884363,-79.9399309,city
794,33.6332122,-79.1399193,recarea
795,40.0639616,-80.7209149,city
796,34.9381361,-82.2272119,city
797,34.1984435,-79.7671658,city
798,36.9775016,-76.42977,city
799,35.7882893,-78.7812081,city
800,34.9854275,-80.5495112,city
801,39.4018513,-76.6023803,city
802,40.9999202,-80.3471856,city
803,36.550238,-82.5594293,city
804,37.221416,-83.056842,recarea
805,34.9248667,-81.0250784,city
806,42.2465036,-84.4016963,city
807,40.4862174,-74.4518173,city
808,35.1595182,-84.8766115,city
809,41.4996574,-81.6936772,city
810,37.12824,-76.3702817,city
811,42.3167397,-83.0373389,city
812,39.7589478,-84.1916069,city
813,40.3267407,-78.9219698,city
814,35.2622654,-81.1838186,city
815,38.4784144,-82.6379387,city
816,34.9498007,-81.9320157,city
817,39.3289242,-82.1012479,city
818,38.4192496,-82.445154,city
819,36.1623886,-85.4997057,city
820,36.31843,-87.225022,recarea
821,40.9125085,-73.8386504,city
822,39.1648,-76.6249437,city
823,39.3331197,-82.9824019,city
824,39.0817985,-77.1516844,city
825,38.9583737,-77.3579805,city
826,36.8320081,-76.297699,city
827,36.0998131,-80.2440518,city
828,41.0339862,-73.7629097,city
829,41.2464824,-75.8817316,city
830,37.293198,-80.0556773,city
831,37.954627,-79.953215,recarea
832,33.6956461,-78.8900409,city
833,37.693952,-85.8591285,city
834,37.7781702,-81.1881557,city
835,40.0978929,-74.2176435,city
836,34.851354,-82.3984882,city
837,39.9401426,-82.005019,city
838,41.3673191,-82.1073583,city
839,37.7478572,-84.2946539,city
840,37.340648,-83.470683,recarea
841,38.4493315,-78.8688833,city
842,40.7399785,-84.105006,city
843,37.2708788,-76.7074042,city
844,40.03813,-76.3056686,city
845,38.9959461,-77.0276231,city
846,33.7489924,-84.3902644,city
847,39.7459468,-75.546589,city
848,42.4894801,-83.1446485,city
849,39.2574114,-76.5236745,city
850,34.0128323,-86.0030251,city
851,42.3222599,-83.1763145,city
852,35.996653,-78.9018053,city
853,41.2367955,-80.8190423,city
854,35.925206,-86.8689419,city
855,39.6828358,-75.7515682,city
856,40.735657,-74.1723667,city
857,41.2493292,-77.0027671,city
858,42.4932575,-83.0062746,city
859,36.5959685,-82.1885009,city
860,38.6263882,-76.9106581,city
861,35.6144446,-88.8177418,city
862,39.9784186,-86.1283681,city
863,35.3848841,-77.9927651,city
864,34.717797,-76.672975,recarea
865,40.9312099,-73.8987469,city
866,37.0833893,-88.6000478,city
867,35.8460396,-86.3921096,city
868,43.7508284,-87.71453,city
869,43.7383,-87.75485,recarea
870,43.569804,-88.608747,recarea
871,43.507603,-89.520923,recarea
872,44.801632,-87.322227,recarea
873,40.672676,-89.502945,recarea
874,44.7606481,-85.6165976,city
